genre,producer,y,production
Space,Good Smile Company,2016,2
Magic,Sotsu,2016,2
Game,TV Tokyo,2016,2
Action,Genco,2016,2
Supernatural,Dentsu,2016,2
School,Dentsu,2016,2
Shounen,Kodansha,2016,2
Shounen,Shochiku,2016,2
Sports,Shueisha,2016,2
Adventure,Frontier Works,2016,2
Seinen,Orange,2016,2
Action,BS11,2016,2
School,bilibili,2016,2
Action,MAGES.,2016,2
Ecchi,Aniplex,2016,2
Sci-Fi,Q-Tec,2016,2
Seinen,Kadokawa Shoten,2016,2
Ecchi,Magic Capsule,2016,2
Space,Ultra Super Pictures,2016,2
Adventure,Ultra Super Pictures,2016,2
Music,Bushiroad,2016,2
Action,Infinite,2016,2
Adventure,KlockWorx,2016,2
Sci-Fi,TOHO animation,2016,2
Adventure,Docomo Anime Store,2016,2
Action,Bandai,2016,2
Magic,Tencent Animation,2016,2
Supernatural,NBCUniversal Entertainment Japan,2016,2
Comedy,DIVE II Entertainment,2016,2
Samurai,NBCUniversal Entertainment Japan,2016,2
Action,Kyoraku Industrial Holdings,2016,2
Military,Big West,2016,1
Horror,NBCUniversal Entertainment Japan,2016,1
Military,Magic Capsule,2016,1
Game,Audio Planning U,2016,1
Sci-Fi,Hobibox,2016,1
Drama,Bushiroad,2016,1
Mecha,Avex Pictures,2016,1
Shounen,VAP,2016,1
Shoujo,bilibili,2016,1
Shoujo,Orange,2016,1
Action,d-rights,2016,1
Super Power,Tencent Animation,2016,1
Romance,East Japan Marketing &amp; Communications,2016,1
Romance,Kodansha,2016,1
Comedy,BS11,2016,1
Adventure,YTV,2016,1
Action,Visual Art&#039;s,2016,1
Kids,Fujiko F. Fujio Pro,2016,1
Supernatural,Hakusensha,2016,1
Fantasy,Nihon Ad Systems,2016,1
Magic,Sanrio,2016,1
Fantasy,Fujiko F. Fujio Pro,2016,1
Drama,Kodansha,2016,1
Supernatural,Adores,2016,1
Kids,Tonko House,2016,1
Sports,Fuji TV,2016,1
Dementia,Decovocal,2016,1
Sports,Kadokawa Shoten,2016,1
Mystery,WOWOW,2016,1
Shounen,Toho Company,2016,1
Romance,Bushiroad,2016,1
Vampire,TOHO animation,2016,1
Music,Aniplex,2016,1
Super Power,Magic Capsule,2016,1
Demons,Docomo Anime Store,2016,1
Seinen,Glovision,2016,1
Shounen,Animax,2016,1
Demons,Hakusensha,2016,1
Slice of Life,YTV,2016,1
School,Sony Music Communications,2016,1
Shoujo, Ltd.,2016,1
Mystery,Chrono Gear Creative,2016,1
Music,Lawson,2016,1
Drama,Yomiuri TV Enterprise,2016,1
School,NHK,2016,1
Romance,WOWOW,2016,1
Mystery,Bushiroad,2016,1
Shoujo,project lights,2016,1
Adventure,Vega Entertainment,2016,1
School,Kansai Telecasting Corporation,2016,1
Drama,East Japan Marketing &amp; Communications,2016,1
Action,Shogakukan,2016,1
Romance,Hakuhodo DY Media Partners,2016,1
Comedy,Orange,2016,1
Military,Nippon Columbia,2016,1
Comedy,Vega Entertainment,2016,1
Romance,CoMix Wave Films,2016,1
Sci-Fi,Sunrise,2016,1
Seinen,Hakusensha,2016,1
Drama,NHK,2016,1
Adventure,Kids Station,2016,1
Shoujo,Tokyo MX,2016,1
Romance,Movic,2016,1
Supernatural,ABC Animation,2016,1
Adventure,i0+,2016,1
Comedy,Zack Promotion,2016,1
Magic,Infinite,2016,1
Military,Hakusensha,2016,1
Historical,Graphinica,2016,1
Kids,DAX Production,2016,1
Fantasy,Kyoraku Industrial Holdings,2016,1
School,Daiichikosho,2016,1
Super Power,Mainichi Broadcasting System,2016,1
Action,Big West,2016,1
Shounen,Avex Pictures,2016,1
Sci-Fi,Glovision,2016,1
Shounen,Kansai Telecasting Corporation,2016,1
Fantasy,Children&#039;s Playground Entertainment,2016,1
Historical,Kadokawa Shoten,2016,1
Seinen,MAGES.,2016,1
Psychological,Showgate,2016,1
Comedy,F.M.F,2016,1
Music,Tokyo MX,2016,1
Military,Asmik Ace Entertainment,2016,1
Supernatural,Glovision,2016,1
Romance,Daiichikosho,2016,1
Sports,Animatic,2016,1
Psychological,DAX Production,2016,1
Police,Dentsu,2016,1
Drama,Koei Tecmo Games,2016,1
Comedy,BeeWorks,2016,1
Action,TV Tokyo Music,2016,1
Parody,VAP,2016,1
Demons,TV Tokyo,2016,1
Adventure,Konami Digital Entertainment,2016,1
School,Fuji TV,2016,1
Action,Yomiuri TV Enterprise,2016,1
Mecha,Sunrise,2016,1
Sci-Fi,Kanon Sound,2016,1
Romance,Shueisha,2016,1
Comedy,Visual Art&#039;s,2016,1
School,BS Japan,2016,1
Supernatural,Directions,2016,1
Psychological,Mainichi Broadcasting System,2016,1
Space,Kyoraku Industrial Holdings,2016,1
Adventure,Grooove,2016,1
Mecha,Yomiuri Telecasting Corporation,2016,1
Demons,Koei Tecmo Games,2016,1
Adventure,Orange,2016,1
Comedy,Kids Station,2016,1
School,Hobi Animation,2016,1
Comedy,Bandai Namco Pictures,2016,1
Demons,LIDENFILMS,2016,1
Comedy,Gen&#039;ei,2016,1
Fantasy,Hakuhodo DY Music &amp; Pictures,2016,1
Sci-Fi,Sega,2016,1
Sci-Fi,Rakuonsha,2016,1
Romance,i0+,2016,1
Historical,NHK,2016,1
Sports,Kyoraku Industrial Holdings,2016,1
Sci-Fi,Docomo Anime Store,2016,1
Sci-Fi,Bandai,2016,1
Vampire,Yomiuri TV Enterprise,2016,1
Adventure,LIDENFILMS,2016,1
School,5pb.,2016,1
Military,Mainichi Broadcasting System,2016,1
Historical,Sotsu,2016,1
Music,Coastline Animation Studio,2016,1
Historical,Sony Music Communications,2016,1
School,Mag Garden,2016,1
Psychological,TOHO animation,2016,1
Romance,BS11,2016,1
Yaoi,Queen Bee,2016,1
Super Power,Bushiroad,2016,1
Adventure,d-rights,2016,1
Shounen,Graphinica,2016,1
Drama,BS11,2016,1
Comedy,Toho Company,2016,1
Drama,Crunchyroll,2016,1
Horror,Shogakukan,2016,1
Magic,Kodansha,2016,1
Psychological,Kyoraku Industrial Holdings,2016,1
Sports,NBCUniversal Entertainment Japan,2016,1
Fantasy,Sanrio,2016,1
Magic,Marvelous Entertainment,2016,1
Horror,Sony Music Communications,2016,1
Action,Marvelous Entertainment,2016,1
Shoujo,Hobi Animation,2016,1
Sports,TOHO animation,2016,1
Mecha,Magic Capsule,2016,1
Demons,NBCUniversal Entertainment Japan,2016,1
Fantasy,Grooove,2016,1
Mecha,Big West,2016,1
Harem,Asahi Broadcasting Corporation,2016,1
Comedy,Good Smile Company,2016,1
Shounen,Telecom Animation Film,2016,1
Kids,Dentsu,2016,1
School,Broccoli,2016,1
Fantasy,Square Enix,2016,1
Mystery,Half H.P Studio,2016,1
Music,King Records,2016,1
Fantasy,Tokyo MX,2016,1
Ecchi,Glovision,2016,1
Action,Benesse Corporation,2016,1
Mystery,Kadokawa Shoten,2016,1
Sci-Fi,Crunchyroll,2016,1
Hentai,PoRO,2016,1
Mystery,Dentsu,2016,1
Romance,C &amp; I entertainment,2016,1
School,Cospa,2016,1
Fantasy,project lights,2016,1
Fantasy, Ltd.,2016,1
Kids,Tokyo MX,2016,1
Drama,Shueisha,2016,1
Thriller,Genco,2016,1
Space,Crunchyroll,2016,1
Music,TV Tokyo,2016,1
Seinen,Fuji TV,2016,1
School,TMS Entertainment,2016,1
School,Asmik Ace Entertainment,2016,1
Seinen,Lucent Pictures Entertainment,2016,1
Adventure,Yomiuri Telecasting Corporation,2016,1
