genre,producer,y,production
School,Iwatobi High School Swimming Club,2013,1
Supernatural,Bushiroad,2013,1
Comedy,Opera House,2013,1
Ecchi,Good Smile Company,2013,1
Shoujo,AT-X,2013,1
Action,Marza Animation Planet,2013,1
Drama,Fuji TV,2013,1
Sci-Fi,Asmik Ace Entertainment,2013,1
Action,Kansai Telecasting Corporation,2013,1
Josei,AIC,2013,1
Seinen,Houbunsha,2013,1
Mecha,Project IS,2013,1
Demons,Yahoo! Japan,2013,1
Magic,ASCII Media Works,2013,1
Super Power,Chrono Gear Creative,2013,1
Magic,Dwango,2013,1
Sci-Fi,Toei Video,2013,1
Thriller,MAGES.,2013,1
Shounen,Shogakukan,2013,1
Mystery,Frontier Works,2013,1
Sci-Fi,Production I.G,2013,1
Fantasy,Warner Bros.,2013,1
Seinen,Atlus,2013,1
Vampire,Sentai Filmworks,2013,1
Comedy,Ajia-Do,2013,1
Harem,Warner Bros.,2013,1
Magic,flying DOG,2013,1
Romance,Studio Jack,2013,1
Slice of Life,NHK,2013,1
Mystery,Starchild Records,2013,1
Comedy,Lucent Pictures Entertainment,2013,1
Comedy,MediaNet,2013,1
School,Senran Kagura Partners,2013,1
Parody,Aniplex,2013,1
Sci-Fi,Overlap,2013,1
Shounen,BS11,2013,1
Action,Lucent Pictures Entertainment,2013,1
Fantasy,Studio Tulip,2013,1
Comedy,Rakuonsha,2013,1
Military,Lantis,2013,1
Shoujo Ai,LMD,2013,1
Fantasy,Yaoqi,2013,1
Action,Half H.P Studio,2013,1
Action,Atlus,2013,1
Supernatural,Idea Factory,2013,1
Sci-Fi,Kinoshita Koumuten,2013,1
Demons,KlockWorx,2013,1
Adventure,Yahoo! Japan,2013,1
Shounen,Mad Box,2013,1
Comedy,Tokyo MX,2013,1
Game,TV Tokyo Music,2013,1
Shounen,KlockWorx,2013,1
Harem,Overlap,2013,1
Ecchi,DAX Production,2013,1
Fantasy,Memory-Tech,2013,1
School,Hobby Japan,2013,1
Music,Infinite,2013,1
Adventure,Kadokawa Shoten,2013,1
Comedy,Project No Name,2013,1
School,Hoods Entertainment,2013,1
Supernatural,Cyclone Graphics inc,2013,1
Slice of Life,Kadokawa Shoten,2013,1
Kids,Toho Company,2013,1
Music,Khara,2013,1
Ecchi,Dwango,2013,1
Slice of Life,Baramiri,2013,1
Music,Poncotan,2013,1
Music,Studio Moriken,2013,1
Shounen,AMG MUSIC,2013,1
Harem,Project IS,2013,1
Psychological,Starchild Records,2013,1
Fantasy,Bushiroad,2013,1
Vampire,KlockWorx,2013,1
Parody,Shueisha,2013,1
School,Studio Comet,2013,1
Game,Nippon Television Network Corporation,2013,1
Fantasy,Idea Factory,2013,1
Historical,Shueisha,2013,1
Shoujo,Pony Canyon,2013,1
Slice of Life,Iwatobi High School Swimming Club,2013,1
Harem,Kodansha,2013,1
Psychological,Pink Pineapple,2013,1
Action,Asahi Broadcasting Corporation,2013,1
Slice of Life,Aniplex of America,2013,1
Supernatural,Shogakukan,2013,1
School,Idea Factory,2013,1
Mecha,Fuji TV,2013,1
Horror,MAGES.,2013,1
Comedy,Banpresto,2013,1
Space,TOHO animation,2013,1
Adventure,Asatsu DK,2013,1
Seinen,Orange,2013,1
Sports,Shueisha,2013,1
Comedy,MAGES.,2013,1
Sci-Fi,Tezuka Productions,2013,1
Comedy,Bandai,2013,1
Fantasy,Toho Company,2013,1
School,MediaNet,2013,1
Comedy,Strawberry Meets Pictures,2013,1
Shounen,MediaNet,2013,1
Drama,Toho Company,2013,1
Ecchi,BS-TBS,2013,1
Comedy,Nihon Ad Systems,2013,1
Sci-Fi,Kodansha,2013,1
Magic,Nitroplus,2013,1
Sports,Iwatobi High School Swimming Club,2013,1
Horror,TV Tokyo,2013,1
Game,Nihon Ad Systems,2013,1
Sci-Fi,Project IS,2013,1
Sci-Fi,KlockWorx,2013,1
Shoujo Ai,Cammot,2013,1
Comedy,Avex Entertainment,2013,1
Music,Fuji TV,2013,1
Harem,KlockWorx,2013,1
Demons,Enterbrain,2013,1
Sci-Fi,Fuji TV,2013,1
Super Power,Square Enix,2013,1
Super Power,Tokyo MX,2013,1
Drama,Warner Bros.,2013,1
Slice of Life,Shueisha,2013,1
Mystery,Cyclone Graphics inc,2013,1
Historical,Aniplex,2013,1
Military,Pony Canyon,2013,1
Demons,Infinite,2013,1
Supernatural,NAZ,2013,1
Comedy,Baramiri,2013,1
Kids,MMDGP,2013,1
Comedy,Iwatobi High School Swimming Club,2013,1
School,Opera House,2013,1
Sci-Fi,Amber Film Works,2013,1
Comedy,Studio Fantasia,2013,1
Action,NOTTV,2013,1
Romance,NBCUniversal Entertainment Japan,2013,1
Action,Ankama,2013,1
Supernatural,DLE,2013,1
Space,Toei Video,2013,1
Demons,Bushiroad,2013,1
Thriller,Madoka Partners,2013,1
Super Power,TV Tokyo,2013,1
Music,Sanrio,2013,1
Magic,Sotsu,2013,1
Action,Senran Kagura Partners,2013,1
Fantasy,Bouncy,2013,1
Drama,Rondo Robe,2013,1
Fantasy,Mad Box,2013,1
Hentai,ZIZ Entertainment (ZIZ),2013,1
Romance,Atelier Musa,2013,1
Action,Nihon Ad Systems,2013,1
Adventure,TOHO animation,2013,1
Parody,Pony Canyon,2013,1
Romance,ZERO-A,2013,1
Comedy,SoftBank Creative Corp.,2013,1
Drama,ZERO-A,2013,1
Harem,ASCII Media Works,2013,1
Action,Vasoon Animation,2013,1
Romance,Shochiku,2013,1
Drama,Atelier Musa,2013,1
Space,Marza Animation Planet,2013,1
Fantasy,Amber Film Works,2013,1
Romance,Rondo Robe,2013,1
Mystery,KlockWorx,2013,1
Drama,Kinoshita Koumuten,2013,1
School,Lucent Pictures Entertainment,2013,1
Shounen,Flex Comics,2013,1
Comedy,Senran Kagura Partners,2013,1
Slice of Life,Dentsu,2013,1
Parody,Sotsu,2013,1
Adventure,Yomiuri Telecasting Corporation,2013,1
Parody,Ajia-Do,2013,1
Horror,Yaoqi,2013,1
Adventure,JM animation,2013,1
Sports,DAX Production,2013,1
Shoujo,Kadokawa Shoten,2013,1
Slice of Life,Shochiku,2013,1
Action,Overlap,2013,1
Super Power,Sotsu,2013,1
Parody,AMG MUSIC,2013,1
Drama,Studio Dadashow,2013,1
Demons,Lantis,2013,1
Seinen,Shueisha,2013,1
Thriller,Studio Mausu,2013,1
School,Houbunsha,2013,1
Harem,Hobby Japan,2013,1
Sci-Fi,CoMix Wave Films,2013,1
Ecchi,Hobby Japan,2013,1
Magic,Kadokawa Shoten,2013,1
Fantasy,TOHO animation,2013,1
Drama,GANSIS,2013,1
Comedy,Tohokushinsha Film Corporation,2013,1
Supernatural,Opera House,2013,1
Slice of Life,Geneon Universal Entertainment,2013,1
Supernatural,Delfi Sound,2013,1
Comedy,DIVE II Entertainment,2013,1
Music,Good Smile Company,2013,1
School,Bouncy,2013,1
Sports,BS11,2013,1
Ecchi,Sotsu,2013,1
Parody,DIVE II Entertainment,2013,1
Fantasy,Atlus,2013,1
Romance,GANSIS,2013,1
Historical,Warner Bros.,2013,1
Sci-Fi,Steve N&#039; Steven,2013,1
Shoujo,Production I.G,2013,1
Military,Ankama,2013,1
Magic,Notes,2013,1
Comedy,Tsubasa Entertainment,2013,1
Samurai,KlockWorx,2013,1
Magic,NHK,2013,1
Sci-Fi,VAP,2013,1
Drama,Pink Pineapple,2013,1
Comedy,I was a Ballerina,2013,1
Magic,Good Smile Company,2013,1
Parody,Bandai,2013,1
Seinen,Pony Canyon,2013,1
Ecchi,Studio Fantasia,2013,1
Ecchi,Flex Comics,2013,1
Mecha,AT-X,2013,1
Historical,Frontier Works,2013,1
Supernatural,Atlus,2013,1
Music,Kamikaze Douga,2013,1
Mecha,Oddjob,2013,1
Comedy,PoPoCo,2013,1
Mystery,Mag Garden,2013,1
Shoujo Ai,AIC,2013,1
Drama,Madoka Partners,2013,1
Mystery,DAX Production,2013,1
Seinen,Ajia-Do,2013,1
Sci-Fi,Ultra Super Pictures,2013,1
Ecchi,TV Asahi,2013,1
Magic,Studio Jack,2013,1
Martial Arts,Dentsu,2013,1
Romance,SoftBank Creative Corp.,2013,1
Comedy,Idea Factory,2013,1
Action,Yomiuri Telecasting Corporation,2013,1
Dementia,TV Tokyo,2013,1
Sci-Fi,Magic Capsule,2013,1
Romance,Cyclone Graphics inc,2013,1
Music,Monomusik,2013,1
Slice of Life,Kyoraku Industrial Holdings,2013,1
Kids,RG Animation Studios,2013,1
Seinen,Notes,2013,1
Demons,Mainichi Broadcasting System,2013,1
Seinen,Yomiko Advertising,2013,1
Mystery,Notes,2013,1
Demons,ZIZ Entertainment (ZIZ),2013,1
School,MAGES.,2013,1
Space,Orange,2013,1
Action,Idea Factory,2013,1
Shounen,Bandai,2013,1
Mystery,NHK,2013,1
Fantasy,Studio Kelmadick,2013,1
Magic,KlockWorx,2013,1
Supernatural,Project No Name,2013,1
Adventure,Kyoraku Industrial Holdings,2013,1
Fantasy,VAP,2013,1
Kids,Studio Kelmadick,2013,1
Horror,Geneon Universal Entertainment,2013,1
Seinen,Studio Mausu,2013,1
Comedy,Yomiuri Telecasting Corporation,2013,1
Comedy,Cyclone Graphics inc,2013,1
Mystery,TV Tokyo,2013,1
Military,TBS,2013,1
Martial Arts,TV Tokyo,2013,1
Fantasy,Orange,2013,1
Fantasy,Project No Name,2013,1
Adventure,Enterbrain,2013,1
Shounen,Tohokushinsha Film Corporation,2013,1
Super Power,Toshiba Entertainment,2013,1
Yaoi,Studio Zealot,2013,1
Adventure,Earth Star Entertainment,2013,1
Shounen,UNLIMITED Partners,2013,1
Magic,Q-Tec,2013,1
Music,Avex Entertainment,2013,1
Drama,Sammy,2013,1
Vampire,Cyclone Graphics inc,2013,1
Shoujo,Sentai Filmworks,2013,1
Action,Sammy,2013,1
Comedy,Shogakukan,2013,1
School,Tokyo MX,2013,1
Slice of Life,ZERO-A,2013,1
Comedy,Benesse Corporation,2013,1
Parody,Idea Factory,2013,1
Shounen,Kansai Telecasting Corporation,2013,1
Seinen,Directions,2013,1
Comedy,Hoods Entertainment,2013,1
Fantasy,Mirai Film,2013,1
Romance,Production I.G,2013,1
Music,Group TAC,2013,1
Music,NHK,2013,1
Seinen,Hoods Entertainment,2013,1
Hentai,Moonstone Cherry,2013,1
Comedy,Penta Show Studios,2013,1
Shoujo,KlockWorx,2013,1
Comedy,Kyotoma,2013,1
Supernatural,Avex Entertainment,2013,1
Psychological,KlockWorx,2013,1
Magic,AIC Frontier,2013,1
Demons,Magic Capsule,2013,1
Fantasy,TMS Entertainment,2013,1
Shoujo,Studio Jack,2013,1
Action,Penta Show Studios,2013,1
School,BS-TBS,2013,1
Seinen,Yahoo! Japan,2013,1
Drama,TV Tokyo,2013,1
Slice of Life,TV Tokyo Music,2013,1
Magic,ZERO-A,2013,1
Romance,Queen Bee,2013,1
Action,Yomiko Advertising,2013,1
Shoujo,NBCUniversal Entertainment Japan,2013,1
Comedy,Lantis,2012,20
School,Lantis,2012,19
Comedy,Aniplex,2012,18
Comedy,TV Tokyo,2012,18
Action,TV Tokyo,2012,17
Ecchi,Lantis,2012,15
Romance,Lantis,2012,14
Shounen,TV Tokyo,2012,14
Supernatural,Aniplex,2012,13
School,Aniplex,2012,12
Action,Aniplex,2012,11
Action,Dentsu,2012,11
Comedy,DAX Production,2012,11
Slice of Life,Aniplex,2012,11
Fantasy,TV Tokyo,2012,11
Comedy,Sotsu,2012,10
Comedy,Bandai Visual,2012,10
Drama,Aniplex,2012,10
Comedy,AT-X,2012,10
Comedy,Pony Canyon,2012,9
Ecchi,AT-X,2012,9
Slice of Life,Dentsu,2012,9
Comedy,Dentsu,2012,9
Sci-Fi,Aniplex,2012,9
Comedy,KlockWorx,2012,9
Action,Shueisha,2012,8
Shounen,Dentsu,2012,8
Shounen,Nihon Ad Systems,2012,8
Comedy,Shueisha,2012,8
Shounen,Shueisha,2012,8
Romance,AT-X,2012,8
School,TV Tokyo,2012,8
Fantasy,Dentsu,2012,8
Comedy,TBS,2012,8
Shoujo,TV Tokyo,2012,8
Comedy,flying DOG,2012,8
Comedy,Takeshobo,2012,8
Shounen,Aniplex,2012,8
Supernatural,Lantis,2012,8
Adventure,TV Tokyo,2012,7
Hentai,Pink Pineapple,2012,7
Action,KlockWorx,2012,7
Fantasy,Lantis,2012,7
Slice of Life,TV Tokyo,2012,7
Fantasy,Aniplex,2012,7
School,TBS,2012,7
Adventure,Dentsu,2012,7
Romance,Aniplex,2012,7
Action,Bandai Visual,2012,7
Slice of Life,Lantis,2012,7
Comedy,Kodansha,2012,7
Romance,TBS,2012,7
Kids,NHK,2012,7
Shounen,Lantis,2012,7
Action,flying DOG,2012,7
Romance,DAX Production,2012,7
Slice of Life,Takeshobo,2012,7
Supernatural,KlockWorx,2012,6
Action,Lantis,2012,6
Parody,TV Tokyo,2012,6
Sci-Fi,flying DOG,2012,6
Sci-Fi,Bandai Visual,2012,6
School,Pony Canyon,2012,6
Romance,Pony Canyon,2012,6
Romance,Kodansha,2012,6
School,DAX Production,2012,6
Comedy,Genco,2012,6
Comedy,CoMix Wave Films,2012,6
Romance,TV Tokyo,2012,6
Drama,Sony Music Entertainment,2012,6
Romance,Genco,2012,6
Ecchi,Genco,2012,6
School,Kodansha,2012,6
Slice of Life,DAX Production,2012,6
Seinen,Takeshobo,2012,6
School,Dentsu,2012,6
Comedy,Geneon Universal Entertainment,2012,6
Action,Good Smile Company,2012,6
Romance,Starchild Records,2012,6
Seinen,DAX Production,2012,6
Romance,Geneon Universal Entertainment,2012,5
Comedy,Nihon Ad Systems,2012,5
School,Bandai Visual,2012,5
Mystery,Aniplex,2012,5
School,Starchild Records,2012,5
Harem,AT-X,2012,5
Slice of Life,Bandai Visual,2012,5
Hentai,MS Pictures,2012,5
Action,Shogakukan Productions,2012,5
Hentai,Mary Jane,2012,5
Shounen,Square Enix,2012,5
Harem,Lantis,2012,5
Ecchi,Media Factory,2012,5
Magic,Aniplex,2012,5
Fantasy,DAX Production,2012,5
Supernatural,Kodansha,2012,5
Action,Nihon Ad Systems,2012,5
Comedy,Starchild Records,2012,5
Super Power,Lantis,2012,5
Comedy,Movic,2012,5
Slice of Life,Pony Canyon,2012,5
Slice of Life,CoMix Wave Films,2012,5
Game,TV Tokyo,2012,5
Music,Sony Music Entertainment,2012,5
Fantasy,Nihon Ad Systems,2012,5
Action,Kadokawa Shoten,2012,5
School,Genco,2012,5
Action,Mainichi Broadcasting System,2012,5
Adventure,Shogakukan Productions,2012,5
Fantasy,Sotsu,2012,5
Action,AT-X,2012,5
Slice of Life,Starchild Records,2012,5
Action,Media Factory,2012,5
School,Takeshobo,2012,5
Drama,Fuji TV,2012,5
Sci-Fi,TV Tokyo,2012,4
School,AT-X,2012,4
Magic,Mainichi Broadcasting System,2012,4
Drama,Movic,2012,4
Action,Dwango,2012,4
Hentai,T-Rex,2012,4
Fantasy,Good Smile Company,2012,4
Comedy,Mainichi Broadcasting System,2012,4
Drama,Nitroplus,2012,4
School,Showgate,2012,4
Slice of Life,Mainichi Broadcasting System,2012,4
Adventure,Aniplex,2012,4
Mystery,Lantis,2012,4
School,Sony Music Entertainment,2012,4
School,Media Factory,2012,4
Comedy,Yomiuri Telecasting Corporation,2012,4
Ecchi,KlockWorx,2012,4
Music,NHK,2012,4
Comedy,Media Factory,2012,4
Mecha,Bandai Visual,2012,4
Supernatural,TV Tokyo,2012,4
Comedy,Production I.G,2012,4
Drama,Dentsu,2012,4
School,Movic,2012,4
Sci-Fi,Dentsu,2012,4
Romance,KlockWorx,2012,4
Hentai,Studio 9 MAiami,2012,4
Action,Genco,2012,4
Sports,Nihon Ad Systems,2012,4
Supernatural,Mainichi Broadcasting System,2012,4
Romance,Magic Capsule,2012,4
Historical,TV Tokyo,2012,4
School,AIC,2012,4
Shounen,Shogakukan Productions,2012,4
Supernatural,Kadokawa Shoten,2012,4
Comedy,Bushiroad,2012,4
School,Fuji TV,2012,4
Drama,Mainichi Broadcasting System,2012,4
Comedy,Dream Creation,2012,4
Comedy,Shogakukan Productions,2012,4
Supernatural,Pony Canyon,2012,4
Comedy,Fuji TV,2012,4
Romance,Showgate,2012,4
Drama,Toho Company,2012,4
Shounen,NHK,2012,4
School,Square Enix,2012,4
School,Magic Capsule,2012,4
Kids,TV Tokyo,2012,4
Action,Tohokushinsha Film Corporation,2012,4
Sci-Fi,Magic Capsule,2012,4
Supernatural,Dentsu,2012,4
Shounen,Bandai Visual,2012,4
Shounen,Mainichi Broadcasting System,2012,4
Magic,Dentsu,2012,4
Slice of Life,TBS,2012,4
Comedy,Toho Company,2012,4
Action,Nitroplus,2012,4
Psychological,Aniplex,2012,4
Supernatural,Sony Music Entertainment,2012,4
Sci-Fi,Sony Music Entertainment,2012,4
Comedy,Dwango,2012,4
Romance,Media Factory,2012,4
Seinen,Lantis,2012,4
Fantasy,AT-X,2012,3
Adventure,Good Smile Company,2012,3
Comedy,Kadokawa Shoten,2012,3
Harem,Geneon Universal Entertainment,2012,3
Comedy,Good Smile Company,2012,3
Sci-Fi,Yomiuri Telecasting Corporation,2012,3
Comedy,Showgate,2012,3
Hentai,Cotton Doll,2012,3
Ecchi,TBS,2012,3
Slice of Life,Dream Creation,2012,3
Music,Toy&#039;s Factory,2012,3
Martial Arts,TV Tokyo,2012,3
Mystery,KlockWorx,2012,3
Thriller,Aniplex,2012,3
Fantasy,Bandai Visual,2012,3
Action,Sony PCL,2012,3
Action,Showgate,2012,3
Fantasy,Sanrio,2012,3
Horror,Lantis,2012,3
Slice of Life,Good Smile Company,2012,3
Fantasy,Shueisha,2012,3
Shounen,Tokyo Movie Shinsha,2012,3
School,Atelier Musa,2012,3
Magic,Movic,2012,3
Drama,Lantis,2012,3
Thriller,Nitroplus,2012,3
Slice of Life,Sotsu,2012,3
Seinen,Pony Canyon,2012,3
Slice of Life,Showgate,2012,3
Action,Fuji TV,2012,3
Romance,Enterbrain,2012,3
Supernatural,AT-X,2012,3
Sci-Fi,Nitroplus,2012,3
Sci-Fi,ASCII Media Works,2012,3
Psychological,Nitroplus,2012,3
Seinen,TBS,2012,3
Super Power,Bushiroad,2012,3
Fantasy,Media Factory,2012,3
Action,Sony Music Entertainment,2012,3
Magic,AT-X,2012,3
Comedy,Trinity Sound,2012,3
Horror,Aniplex,2012,3
Shounen,Movic,2012,3
Sports,NHK,2012,3
Supernatural,Enterbrain,2012,3
Romance,Square Enix,2012,3
Mecha,flying DOG,2012,3
Comedy,NHK,2012,3
Fantasy,Genco,2012,3
Drama,Bandai Visual,2012,3
Romance,Sotsu,2012,3
Ecchi,Geneon Universal Entertainment,2012,3
Romance,BS-TBS,2012,3
Shounen,Kodansha,2012,3
Ecchi,Showgate,2012,3
Shounen,Geneon Universal Entertainment,2012,3
Action,Toho Company,2012,3
Action,Movic,2012,3
Comedy,Tokyo Movie Shinsha,2012,3
Romance,Toho Company,2012,3
Psychological,Mainichi Broadcasting System,2012,3
Comedy,Studio Jack,2012,3
Fantasy,Yahoo! Japan,2012,3
Action,Sotsu,2012,3
Sci-Fi,KlockWorx,2012,3
Action,Warner Bros.,2012,3
School,flying DOG,2012,3
Romance,Nihon Ad Systems,2012,3
Harem,KlockWorx,2012,3
Super Power,TV Tokyo,2012,3
Action,Yahoo! Japan,2012,3
Sci-Fi,Fuji TV,2012,3
Demons,Lantis,2012,3
Hentai,Queen Bee,2012,3
Demons,Genco,2012,3
Game,Nihon Ad Systems,2012,3
Action,Bushiroad,2012,3
Supernatural,Sotsu,2012,3
Slice of Life,Square Enix,2012,3
Fantasy,Studio Comet,2012,3
Romance,Sony Music Entertainment,2012,3
Action,Kadokawa Pictures Japan,2012,3
Action,DAX Production,2012,3
Romance,Warner Bros.,2012,3
Action,Avex Entertainment,2012,3
Horror,Pony Canyon,2012,3
Comedy,BS-TBS,2012,3
Comedy,Square Enix,2012,3
School,KlockWorx,2012,3
Supernatural,Geneon Universal Entertainment,2012,3
School,Nihon Ad Systems,2012,3
Sci-Fi,Production I.G,2012,3
Slice of Life,Nihon Ad Systems,2012,3
Parody,Shueisha,2012,3
Comedy,Magic Capsule,2012,3
Adventure,Media Factory,2012,3
Super Power,Media Factory,2012,3
Harem,Pink Pineapple,2012,3
Ecchi,DAX Production,2012,3
Comedy,Tohokushinsha Film Corporation,2012,3
Supernatural,Toho Company,2012,3
Seinen,Dream Creation,2012,3
Comedy,Ripromo,2012,3
Supernatural,Bandai Visual,2012,3
Romance,Movic,2012,3
Seinen,Dentsu,2012,3
Magic,KlockWorx,2012,3
Sci-Fi,Starchild Records,2012,3
Slice of Life,KlockWorx,2012,3
Music,Lantis,2012,3
Shoujo,Sotsu,2012,3
Adventure,Yahoo! Japan,2012,3
School,Sotsu,2012,3
Drama,Good Smile Company,2012,3
Magic,TV Tokyo,2012,3
School,Mainichi Broadcasting System,2012,3
Music,Dentsu,2012,3
Supernatural,Starchild Records,2012,3
Mystery,Kadokawa Shoten,2012,3
Seinen,Shogakukan Productions,2012,2
Fantasy,Mainichi Broadcasting System,2012,2
Romance,Dentsu,2012,2
Fantasy,Avex Entertainment,2012,2
Samurai,TV Tokyo,2012,2
Shoujo,Nihon Ad Systems,2012,2
Military,Lantis,2012,2
Josei,TV Tokyo,2012,2
Comedy,Rakuonsha,2012,2
Shounen,Pony Canyon,2012,2
Military,NYAV Post,2012,2
Magic,Kadokawa Shoten,2012,2
Horror,TBS,2012,2
Supernatural,Nitroplus,2012,2
Fantasy,Shogakukan Productions,2012,2
Action,Pony Canyon,2012,2
Supernatural,DAX Production,2012,2
Military,Yahoo! Japan,2012,2
Slice of Life,Right Gauge,2012,2
Slice of Life,AT-X,2012,2
Seinen,Dwango Music Entertainment,2012,2
Fantasy,Sega,2012,2
Seinen,YTV,2012,2
Drama,Houbunsha,2012,2
Supernatural,flying DOG,2012,2
Harem,Warner Bros.,2012,2
Shounen,BS-TBS,2012,2
Ecchi,Kodansha,2012,2
School,Rakuonsha,2012,2
Romance,Atelier Musa,2012,2
Fantasy,Marvelous AQL,2012,2
Drama,TV Tokyo,2012,2
Harem,Genco,2012,2
Romance,flying DOG,2012,2
Sci-Fi,Genco,2012,2
Music,Bandai Visual,2012,2
Josei,DAX Production,2012,2
Slice of Life,Sony Music Entertainment,2012,2
Harem,Magic Capsule,2012,2
Ecchi,Hobby Japan,2012,2
Action,Yomiuri Telecasting Corporation,2012,2
Action,Memory-Tech,2012,2
Fantasy,Rakuonsha,2012,2
Sci-Fi,Geneon Universal Entertainment,2012,2
Action,Kodansha,2012,2
Comedy,Sony Music Entertainment,2012,2
Comedy,Enterbrain,2012,2
Fantasy,Sony Music Entertainment,2012,2
Magic,Kadokawa Pictures Japan,2012,2
School,Yomiuri Advertising,2012,2
School,Animation Do,2012,2
Mystery,Bushiroad,2012,2
Action,Shochiku,2012,2
Seinen,Sotsu,2012,2
Drama,Nihon Ad Systems,2012,2
Seinen,NYAV Post,2012,2
Super Power,Aniplex,2012,2
Kids,Sony Music Entertainment,2012,2
Action,Geneon Universal Entertainment,2012,2
Fantasy,Pony Canyon,2012,2
Mecha,TV Tokyo,2012,2
Ecchi,Cospa,2012,2
Horror,Kadokawa Shoten,2012,2
Drama,Genco,2012,2
School,Dream Creation,2012,2
Sci-Fi,Project Eureka AO,2012,2
Fantasy,NYAV Post,2012,2
Slice of Life,Trinity Sound,2012,2
Supernatural,Square Enix,2012,2
Thriller,Madoka Partners,2012,2
Romance,ASCII Media Works,2012,2
Seinen,Right Gauge,2012,2
Fantasy,Nitroplus,2012,2
Mystery,Sotsu,2012,2
Supernatural,TV Asahi,2012,2
Comedy,Kadokawa Pictures Japan,2012,2
Shoujo,Starchild Records,2012,2
Ecchi,Kadokawa Pictures Japan,2012,2
Supernatural,NYAV Post,2012,2
Seinen,Good Smile Company,2012,2
Supernatural,BS-TBS,2012,2
Ecchi,Cammot,2012,2
Drama,Tohokushinsha Film Corporation,2012,2
Adventure,Mainichi Broadcasting System,2012,2
Hentai,Majin,2012,2
Romance,Fuji TV,2012,2
Romance,Yomiuri Advertising,2012,2
Sports,Bandai Visual,2012,2
Shounen,Hakoniwa Academy Student Council,2012,2
Horror,BS-TBS,2012,2
Action,NHK,2012,2
Demons,Good Smile Company,2012,2
Supernatural,Kadokawa Pictures Japan,2012,2
Historical,Dentsu,2012,2
Drama,Media Factory,2012,2
Comedy,M.S.C,2012,2
Psychological,Houbunsha,2012,2
Comedy,AIC,2012,2
Supernatural,Cotton Doll,2012,2
Historical,Sony Music Entertainment,2012,2
Thriller,Houbunsha,2012,2
School,Hakoniwa Academy Student Council,2012,2
Military,Sony PCL,2012,2
Thriller,Mainichi Broadcasting System,2012,2
Action,Hakoniwa Academy Student Council,2012,2
Magic,Sotsu,2012,2
Comedy,SoftBank Creative Corp.,2012,2
School,Kadokawa Shoten,2012,2
Action,AIC,2012,2
Shoujo,Lantis,2012,2
Hentai,Pashmina,2012,2
Super Power,Chrono Gear Creative,2012,2
Demons,Yahoo! Japan,2012,2
Ecchi,Sotsu,2012,2
Ecchi,TV Tokyo,2012,2
Drama,Madoka Partners,2012,2
School,Toho Company,2012,2
Comedy,Hakoniwa Academy Student Council,2012,2
School,Enterbrain,2012,2
Demons,NYAV Post,2012,2
Shounen,Media Factory,2012,2
Military,TV Tokyo,2012,2
School,Fuji Pacific Music Publishing,2012,2
Seinen,Yahoo! Japan,2012,2
Shoujo,Bandai Visual,2012,2
School,Warner Bros.,2012,2
Comedy,Half H.P Studio,2012,2
Magic,flying DOG,2012,2
Romance,Hoods Entertainment,2012,2
Ecchi,Kadokawa Shoten,2012,2
Mecha,Production I.G,2012,2
Sci-Fi,Bushiroad,2012,2
Fantasy,Toho Company,2012,2
Adventure,Shueisha,2012,2
Historical,KlockWorx,2012,2
Drama,TBS,2012,2
Supernatural,Warner Bros.,2012,2
Super Power,Sotsu,2012,2
Drama,Enterbrain,2012,2
Hentai,Digital Works,2012,2
Comedy,Right Gauge,2012,2
Drama,Starchild Records,2012,2
Adventure,Bandai Visual,2012,2
Sci-Fi,YTV,2012,2
Military,Movic,2012,2
Seinen,Toho Company,2012,2
Supernatural,Shueisha,2012,2
Slice of Life,Natsuiro Kiseki Production Partners,2012,2
Comedy,Bouncy,2012,2
Game,Sotsu,2012,2
Psychological,Madoka Partners,2012,2
School,NHK,2012,2
Sci-Fi,Showgate,2012,2
Drama,Fuji Pacific Music Publishing,2012,2
Action,CoMix Wave Films,2012,2
Harem,Showgate,2012,2
Ecchi,Pony Canyon,2012,2
Adventure,Project Eureka AO,2012,2
Action,Production I.G,2012,2
Mecha,Yomiuri Telecasting Corporation,2012,2
Psychological,Dentsu,2012,2
Military,Good Smile Company,2012,2
Comedy,Chrono Gear Creative,2012,2
Sci-Fi,Sakura Create,2012,2
Ecchi,Atelier Musa,2012,2
Adventure,Tokyo Movie Shinsha,2012,2
Magic,TV Osaka,2012,2
Drama,Showgate,2012,2
Adventure,Toho Company,2012,2
Comedy,Marvelous AQL,2012,2
Parody,Dentsu,2012,2
Supernatural,T-Rex,2012,2
Hentai,Lune Pictures,2012,2
Comedy,Dwango Music Entertainment,2012,2
Super Power,Hakoniwa Academy Student Council,2012,2
Fantasy,Majin,2012,2
Music,Space Shower Music,2012,2
Adventure,NYAV Post,2012,2
Super Power,Shueisha,2012,2
Super Power,Good Smile Company,2012,2
Magic,Madoka Partners,2012,2
Fantasy,Movic,2012,2
Harem,Kadokawa Shoten,2012,2
Ecchi,Hakoniwa Academy Student Council,2012,2
Adventure,Geneon Universal Entertainment,2012,2
Slice of Life,Yomiuri Telecasting Corporation,2012,2
Sci-Fi,Kadokawa Shoten,2012,2
Seinen,Aniplex,2012,2
Supernatural,Yahoo! Japan,2012,2
Action,ASCII Media Works,2012,2
Sci-Fi,Lantis,2012,2
